Order Customer Id,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Total_Score,Customer_Segmentation
1,2557,1,2362.250061,4,4,3,443,11,Champions
2,1901,10,2842.70007308,2,2,2,222,6,Cant lose them
3,1994,18,6143.7600575,3,1,1,311,5,At Risk
4,2145,14,4370.62999096,4,2,2,422,8,Promising
5,2222,7,2993.7900315200004,4,3,2,432,9,Recent Customers
6,2411,15,10029.16008718,4,2,1,421,7,Customers Needing Attention
7,1985,22,10943.190101819999,3,1,1,311,5,At Risk
8,1891,19,10723.489944580002,2,1,1,211,4,Lost
9,1905,14,5530.91017331,2,2,2,222,6,Cant lose them
10,2072,8,4281.53002504,3,2,2,322,7,Customers Needing Attention
11,2136,12,6701.979995379999,4,2,1,421,7,Customers Needing Attention
12,2020,28,13100.249966120002,3,1,1,311,5,At Risk
13,1958,16,6838.799983339999,3,1,1,311,5,At Risk
14,1923,13,4682.730060689999,2,2,2,222,6,Cant lose them
15,2185,3,226.18000031999998,4,3,4,434,11,Champions
16,1888,17,4111.05003723,2,1,2,212,5,At Risk
17,2049,17,6397.8901061,3,1,1,311,5,At Risk
18,2170,15,7899.170005699999,4,2,1,421,7,Customers Needing Attention
19,2229,24,9189.48999077,4,1,1,411,6,Cant lose them
20,2056,6,6597.540168400001,3,3,1,331,7,Customers Needing Attention
21,2060,17,6171.26997012,3,1,1,311,5,At Risk
22,2152,16,5118.4000473,4,1,2,412,7,Customers Needing Attention
23,2266,20,9812.519946670001,4,1,1,411,6,Cant lose them
24,2449,15,7702.78999395,4,2,1,421,7,Customers Needing Attention
25,2406,4,1407.19000986,4,3,3,433,10,Loyal Customers
26,1955,13,4169.2200775,3,2,2,322,7,Customers Needing Attention
27,2066,11,6084.06000147,3,2,1,321,6,Cant lose them
28,2061,7,6142.889915919998,3,3,1,331,7,Customers Needing Attention
29,2119,5,4153.3201064,4,3,2,432,9,Recent Customers
30,2345,8,2154.69001482,4,2,3,423,9,Recent Customers
31,2292,24,9516.12998201,4,1,1,411,6,Cant lose them
32,2091,17,7072.620062270001,4,1,1,411,6,Cant lose them
33,2544,5,3863.95004653,4,3,2,432,9,Recent Customers
34,1897,16,4620.8600389,2,1,2,212,5,At Risk
35,2167,13,3638.48004914,4,2,2,422,8,Promising
36,1932,6,1680.6600037,3,3,3,333,9,Recent Customers
37,1941,10,2833.9799611400003,3,2,2,322,7,Customers Needing Attention
38,2097,16,5708.140049060001,4,1,2,412,7,Customers Needing Attention
39,1999,17,5215.89006405,3,1,2,312,6,Cant lose them
40,1916,18,11719.32000052,2,1,1,211,4,Lost
41,1902,12,6597.690145599999,2,2,1,221,5,At Risk
42,2012,18,5683.8599852,3,1,2,312,6,Cant lose them
43,1980,6,2098.0399931,3,3,3,333,9,Recent Customers
44,2087,16,4903.5400694499995,4,1,2,412,7,Customers Needing Attention
45,1982,15,5848.86010738,3,2,2,322,7,Customers Needing Attention
46,2117,19,7516.600063669999,4,1,1,411,6,Cant lose them
47,2386,3,2033.800003,4,3,3,433,10,Loyal Customers
48,1936,15,8699.9199983,3,2,1,321,6,Cant lose them
49,2393,8,2578.29998014,4,2,2,422,8,Promising
50,2015,13,3722.4000243600003,3,2,2,322,7,Customers Needing Attention
51,2033,20,11511.26007134,3,1,1,311,5,At Risk
52,1902,9,5377.8200302,2,2,2,222,6,Cant lose them
53,2241,18,9779.85016265,4,1,1,411,6,Cant lose them
54,1921,17,5339.68003096,2,1,2,212,5,At Risk
55,1894,22,8920.400024479999,2,1,1,211,4,Lost
56,1922,15,5373.660049630001,2,2,2,222,6,Cant lose them
57,2221,12,4684.33006655,4,2,2,422,8,Promising
58,1974,26,18236.270104380004,3,1,1,311,5,At Risk
59,2151,10,3538.60000608,4,2,2,422,8,Promising
60,2190,10,6385.32997526,4,2,1,421,7,Customers Needing Attention
61,2363,9,5227.12002588,4,2,2,422,8,Promising
62,2077,10,1957.85001364,4,2,3,423,9,Recent Customers
